Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID44628,44628,47,79.901,148.753,213.933,0,3,3,3.250,1,-10921639,167.054,184,-173,478,6181,166.096,4.550,1.081,1.045
ID44687,44687,47,130.312,149.446,216.155,0,4,4,3.250,1,-10921639,276.054,223,-56,700,10214,221.334,4.550,1.215,1.369
ID44745,44745,47,142.617,149.867,218.119,0,5,5,3.250,1,-10921639,288.838,287,-188,689,10687,247.547,4.550,1.538,1.414
ID44460,44460,48,107.391,106.265,55.553,0,1,1,3.250,1,-10921639,217.297,213,-138,662,8040,231.612,4.550,1.124,0.993
ID44520,44520,48,100.455,106.453,53.914,0,2,2,3.250,1,-10921639,200.108,189,-254,633,7404,260.353,4.550,1.005,0.770
ID44575,44575,48,130.521,106.120,53.174,0,3,3,3.250,1,-10921639,257.405,267,-218,694,9524,275.208,4.550,1.361,1.078
ID44630,44630,48,90.087,105.713,53.187,0,4,4,3.250,1,-10921639,155.946,165,-165,440,5770,167.241,4.550,1.525,1.126
ID44689,44689,48,66.777,105.976,53.998,0,5,5,3.250,1,-10921639,97.595,72,-100,346,3611,118.755,4.550,1.910,1.079
ID44577,44577,49,164.618,120.238,60.412,0,3,3,3.250,1,-10921639,284.162,298,-375,897,10514,352.964,4.550,1.466,0.957
ID44632,44632,49,191.697,120.121,57.948,0,4,4,3.250,1,-10921639,368.811,366,-334,978,13646,388.575,4.550,1.256,1.057
ID44690,44690,49,202.812,118.814,56.267,0,5,5,3.250,1,-10921639,427.757,428,-283,1076,15827,368.282,4.550,1.270,1.300
ID44633,44633,50,103.460,125.001,61.138,0,4,4,3.250,1,-10921639,236.811,257,-201,577,8762,212.763,11.590,1.017,1.122
ID44691,44691,50,109.379,125.456,59.430,0,5,5,3.250,1,-10921639,202.189,192,-298,760,7481,252.279,4.550,1.082,0.833
ID44634,44634,51,172.531,130.689,65.789,0,4,4,3.250,1,-10921639,305.486,246,-263,925,11303,325.975,4.550,1.642,1.165
ID44693,44693,51,182.298,131.976,65.301,0,5,5,3.250,1,-10921639,370.703,399,-291,908,13716,341.780,4.550,1.481,1.295
ID44527,44527,52,123.429,138.738,83.301,0,2,2,3.250,1,-10921639,257.757,236,-117,591,9537,198.968,4.550,1.353,1.490
ID44582,44582,52,262.195,136.788,85.097,0,3,3,3.250,1,-10921639,371.189,191,-337,1970,13734,591.523,2.790,1.298,0.709
ID44639,44639,52,335.939,136.690,85.805,0,4,4,3.250,1,-10921639,469.784,211,-403,2430,17382,747.097,2.795,1.522,0.759
ID44697,44697,52,326.051,136.756,86.272,0,5,5,3.250,1,-10921639,491.730,273,-280,2173,18194,683.889,4.550,1.566,0.878
ID44640,44640,53,87.687,151.653,91.967,0,4,4,3.250,1,-10921639,134.541,106,-168,485,4978,175.131,4.550,1.849,0.997
ID44698,44698,53,62.377,152.745,90.304,0,5,5,3.250,1,-10921639,111.568,114,-85,333,4128,103.950,4.550,1.745,1.365
ID44641,44641,54,67.897,231.889,95.551,0,4,4,3.250,1,-10921639,89.892,15,-83,500,3326,158.079,2.794,1.681,0.713
ID44701,44701,54,68.669,231.890,95.700,0,5,5,3.250,1,-10921639,89.676,35,-73,514,3318,159.687,2.787,1.593,0.690
ID44532,44532,55,89.231,152.814,102.343,0,2,2,3.250,1,-10921639,145.595,103,-279,655,5387,266.227,2.801,1.103,0.574
ID44588,44588,55,107.331,154.741,100.843,0,3,3,3.250,1,-10921639,162.838,142,-214,629,6025,218.278,4.550,1.417,0.875
ID44642,44642,55,141.936,157.001,99.637,0,4,4,3.250,1,-10921639,266.378,249,-124,732,9856,241.597,4.550,1.742,1.401
ID44702,44702,55,104.666,158.195,98.895,0,5,5,3.250,1,-10921639,276.622,288,-22,689,10235,169.858,4.550,1.236,1.801
ID44589,44589,56,174.222,160.972,107.325,0,3,3,3.250,1,-10921639,341.703,355,-199,903,12643,295.675,4.550,1.501,1.387
ID44644,44644,56,240.063,163.437,106.626,0,4,4,3.250,1,-10921639,418.703,278,-191,1424,15492,461.779,4.550,1.563,1.106
ID44704,44704,56,50.299,164.898,106.700,0,5,5,3.250,1,-10921639,107.162,115,-68,270,3965,81.475,4.550,2.076,1.775
ID44646,44646,57,66.228,169.993,115.568,0,4,4,3.250,1,-10921639,86.595,89,-113,327,3204,125.296,4.550,4.249,1.119
ID44706,44706,57,160.542,172.130,114.847,0,5,5,3.250,1,-10921639,250.568,227,-155,899,9271,288.595,4.550,1.975,1.153
ID44538,44538,58,145.232,170.000,131.000,0,2,2,3.250,1,-10921639,335.324,401,-441,805,12407,355.212,4.550,1.061,0.972
ID44591,44591,58,178.900,171.732,129.261,0,3,3,3.250,1,-10921639,379.243,431,-479,943,14032,409.095,4.550,1.273,1.038
ID44649,44649,58,181.458,174.229,128.646,0,4,4,3.250,1,-10921639,385.270,333,-237,1052,14255,351.004,4.550,1.099,1.150
ID44708,44708,58,138.393,176.485,127.284,0,5,5,3.250,1,-10921639,282.649,229,-171,870,10458,267.804,4.550,1.081,1.096
ID44478,44478,59,62.276,114.227,131.717,0,1,1,3.250,1,-10921639,81.216,58,-97,368,3005,133.412,4.550,2.877,0.904
ID44540,44540,59,97.977,114.078,131.902,0,2,2,3.250,1,-10921639,132.216,81,-175,645,4892,212.398,4.550,2.055,0.838
ID44592,44592,59,136.938,114.765,131.429,0,3,3,3.250,1,-10921639,177.919,81,-251,898,6583,302.888,4.550,2.301,0.819
ID44651,44651,59,143.027,115.197,131.134,0,4,4,3.250,1,-10921639,203.649,113,-195,896,7535,304.907,4.550,1.750,0.850
ID44711,44711,59,113.853,115.701,131.393,0,5,5,3.250,1,-10921639,146.865,77,-218,806,5434,269.744,2.797,1.765,0.695
ID44653,44653,60,88.607,116.780,137.666,0,4,4,3.250,1,-10921639,108.838,47,-200,587,4027,196.661,4.550,3.136,0.839
ID44715,44715,60,60.354,116.963,137.770,0,5,5,3.250,1,-10921639,58.757,8,-190,450,2174,153.457,12.350,3.522,0.596
ID44596,44596,61,76.965,126.538,139.992,0,3,3,3.250,1,-10921639,116.946,88,-133,417,4327,155.379,4.550,2.290,1.048
ID44655,44655,61,114.213,126.055,139.191,0,4,4,3.250,1,-10921639,124.838,63,-174,760,4619,255.607,2.802,3.381,0.754
ID44716,44716,61,164.488,125.830,138.931,0,5,5,3.250,1,-10921639,206.649,107,-210,1087,7646,345.237,4.550,2.476,0.853
ID44656,44656,62,72.172,104.987,140.623,0,4,4,3.250,1,-10921639,98.405,73,-117,462,3641,149.466,4.550,2.128,0.896
ID44717,44717,62,49.052,104.724,139.804,0,5,5,3.250,1,-10921639,57.162,45,-107,314,2115,106.263,4.550,3.334,0.828
ID44547,44547,63,103.567,117.609,148.063,0,2,2,3.250,1,-10921639,175.703,135,-190,771,6501,247.656,4.550,1.736,0.900
ID44601,44601,63,152.226,116.821,148.002,0,3,3,3.250,1,-10921639,212.595,164,-241,1115,7866,347.190,2.788,1.744,0.778
ID44659,44659,63,136.845,118.007,147.578,0,4,4,3.250,1,-10921639,276.216,267,-167,940,10220,324.337,4.550,1.724,1.078
ID44720,44720,63,191.725,120.347,147.255,0,5,5,3.250,1,-10921639,288.243,140,-173,1321,10665,414.193,4.550,1.803,0.895
ID44660,44660,64,54.190,94.467,149.163,0,4,4,3.250,1,-10921639,74.649,40,-117,338,2762,116.139,4.550,2.329,0.899
ID44721,44721,64,49.941,93.144,150.108,0,5,5,3.250,1,-10921639,82.865,92,-89,250,3066,101.737,4.550,3.153,1.237
ID44605,44605,65,49.466,128.545,152.309,0,3,3,3.250,1,-10921639,78.541,61,-47,270,2906,87.029,4.550,3.132,1.368
ID44662,44662,65,86.345,129.092,152.190,0,4,4,3.250,1,-10921639,115.784,76,-130,523,4284,163.631,4.550,2.970,1.059
