Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID571,571,74,28.796,52.331,158.304,0,5,5,3.250,1,-10921639,74.297,87,-17,126,2749,39.199,4.550,1.281,2.129
ID431,431,74,30.992,50.710,156.140,0,6,6,3.250,1,-10921639,69.405,60,7,158,2568,42.570,4.550,1.257,1.816
ID507,507,75,25.240,164.984,162.884,0,4,4,3.250,1,-10921639,34.162,15,-46,151,1264,52.658,4.550,2.921,0.967
ID578,578,75,32.769,165.418,162.645,0,5,5,3.250,1,-10921639,54.297,40,-18,177,2009,54.460,4.550,2.285,1.387
ID437,437,75,30.432,165.189,162.323,0,6,6,3.250,1,-10921639,53.703,38,-18,174,1987,52.722,4.550,1.769,1.301
ID579,579,76,26.823,69.683,163.753,0,5,5,3.250,1,-10921639,58.108,52,-15,137,2150,37.500,4.550,1.700,1.951
ID438,438,76,40.167,68.995,164.193,0,6,6,3.250,1,-10921639,83.919,76,-28,237,3105,68.810,4.550,1.286,1.372
ID582,582,77,27.323,143.872,166.335,0,5,5,3.250,1,-10921639,40.568,39,-31,112,1501,35.221,4.550,-85.427,2.331
ID440,440,77,31.685,144.774,163.963,0,6,6,3.250,1,-10921639,49.108,51,-39,162,1817,52.035,4.550,3.368,1.455
ID511,511,78,73.707,93.210,167.930,0,4,4,3.250,1,-10921639,102.811,73,-53,424,3804,130.386,4.550,2.725,1.154
ID584,584,78,44.996,93.036,168.086,0,5,5,3.250,1,-10921639,48.649,29,-86,283,1800,93.223,4.550,3.269,0.799
ID444,444,78,57.635,92.912,168.569,0,6,6,3.250,1,-10921639,92.514,68,-30,310,3423,89.356,4.550,3.143,1.571
ID586,586,79,93.938,134.910,169.161,0,5,5,3.250,1,-10921639,140.054,78,-144,682,5182,215.255,2.798,1.233,0.718
ID446,446,79,116.900,135.016,169.319,0,6,6,3.250,1,-10921639,179.946,90,-120,767,6658,241.949,4.550,1.506,0.894
ID587,587,80,74.202,119.015,171.987,0,5,5,3.250,1,-10921639,118.784,68,-82,492,4395,155.270,4.550,1.177,0.827
ID447,447,80,56.541,119.224,171.453,0,6,6,3.250,1,-10921639,100.811,65,-45,379,3730,114.105,4.550,1.452,1.046
ID591,591,81,42.372,159.544,174.782,0,5,5,3.250,1,-10921639,80.162,64,-84,285,2966,93.996,11.620,1.016,0.859
ID450,450,81,35.642,160.081,174.360,0,6,6,3.250,1,-10921639,56.486,30,-102,274,2090,89.478,11.608,0.921,0.605
ID459,459,82,28.585,246.786,103.568,0,4,4,3.250,1,-10921639,56.541,41,-31,174,2092,56.813,4.550,1.243,1.103
ID525,525,82,26.865,245.823,104.733,0,5,5,3.250,1,-10921639,51.757,46,-37,167,1915,59.619,4.550,1.011,0.873
ID466,466,83,26.489,97.873,116.497,0,4,4,3.250,1,-10921639,43.000,51,-62,126,1591,51.489,4.550,2.647,1.212
ID532,532,83,27.246,98.113,116.634,0,5,5,3.250,1,-10921639,72.757,75,-24,121,2692,29.497,4.550,1.081,2.562
ID477,477,84,29.855,223.467,129.662,0,4,4,3.250,1,-10921639,34.514,31,-117,178,1277,74.909,4.550,1.899,0.604
ID545,545,84,33.392,221.039,129.769,0,5,5,3.250,1,-10921639,50.432,44,-111,213,1866,81.238,4.550,1.070,0.642
ID488,488,85,26.194,209.169,140.112,0,4,4,3.250,1,-10921639,41.865,27,-66,196,1549,68.151,2.795,0.938,0.595
ID555,555,85,25.308,208.213,140.450,0,5,5,3.250,1,-10921639,44.486,44,-63,187,1646,60.240,4.550,1.022,0.747
ID506,506,86,25.687,185.710,161.684,0,4,4,3.250,1,-10921639,27.703,8,-40,170,1025,56.861,4.550,7.682,0.862
ID576,576,86,34.895,185.620,161.168,0,5,5,3.250,1,-10921639,51.189,29,-69,220,1894,74.384,4.550,1.654,0.858
